year,disease_code,disease_name,category,age_group,age_numeric,sex,deaths,log_deaths
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,under 1 year,0.5,Male,12,1.0791812460476249
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,under 1 year,0.5,Female,14,1.146128035678238
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,1 to under 15 years,8.0,Male,28,1.4471580313422192
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,1 to under 15 years,8.0,Female,36,1.5563025007672873
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,15 to under 20 years,17.5,Male,6,0.7781512503836436
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,20 to under 25 years,22.5,Male,10,1.0
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,20 to under 25 years,22.5,Female,5,0.6989700043360189
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,25 to under 30 years,27.5,Male,18,1.255272505103306
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,25 to under 30 years,27.5,Female,9,0.9542425094393249
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,30 to under 35 years,32.5,Male,21,1.3222192947339193
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,30 to under 35 years,32.5,Female,17,1.2304489213782739
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,35 to under 40 years,37.5,Male,55,1.7403626894942439
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,35 to under 40 years,37.5,Female,23,1.3617278360175928
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,40 to under 45 years,42.5,Male,81,1.9084850188786497
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,40 to under 45 years,42.5,Female,30,1.4771212547196624
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,45 to under 50 years,47.5,Male,144,2.1583624920952498
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,45 to under 50 years,47.5,Female,36,1.5563025007672873
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,50 to under 55 years,52.5,Male,187,2.271841606536499
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,50 to under 55 years,52.5,Female,102,2.0086001717619175
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,55 to under 60 years,57.5,Male,379,2.578639209968072
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,55 to under 60 years,57.5,Female,166,2.220108088040055
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,60 to under 65 years,62.5,Male,597,2.775974331129369
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,60 to under 65 years,62.5,Female,294,2.4683473304121573
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,65 to under 70 years,67.5,Male,772,2.887617300335736
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,65 to under 70 years,67.5,Female,459,2.661812685537261
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,70 to under 75 years,72.5,Male,966,2.9849771264154934
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,70 to under 75 years,72.5,Female,720,2.8573324964312685
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,75 to under 80 years,77.5,Male,1051,3.021602716028242
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,75 to under 80 years,77.5,Female,898,2.9532763366673045
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,80 to under 85 years,82.5,Male,1843,3.2655253352190736
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,80 to under 85 years,82.5,Female,1834,3.263399331334002
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,85 years and over,90.0,Male,2926,3.466274321789292
2023,TDU-01,Certain infectious and parasitic diseases,Infectious,85 years and over,90.0,Female,4644,3.666892211066536
2023,TDU-011,"Tuberculosis, including its sequelae",Infectious,25 to under 30 years,27.5,Male,3,0.47712125471966244
2023,TDU-011,"Tuberculosis, including its sequelae",Infectious,35 to under 40 years,37.5,Male,5,0.6989700043360189
2023,TDU-011,"Tuberculosis, including its sequelae",Infectious,35 to under 40 years,37.5,Female,3,0.47712125471966244
2023,TDU-011,"Tuberculosis, including its sequelae",Infectious,40 to under 45 years,42.5,Male,8,0.9030899869919435
2023,TDU-011,"Tuberculosis, including its sequelae",Infectious,45 to under 50 years,47.5,Male,4,0.6020599913279624
2023,TDU-011,"Tuberculosis, including its sequelae",Infectious,50 to under 55 years,52.5,Male,8,0.9030899869919435
2023,TDU-011,"Tuberculosis, including its sequelae",Infectious,55 to under 60 years,57.5,Male,10,1.0
2023,TDU-011,"Tuberculosis, including its sequelae",Infectious,55 to under 60 years,57.5,Female,4,0.6020599913279624
